id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,fixture_difficulty
720,Tolu,Arokodare,4,5.5,9,208,0,0,0,0,0,0,13.4,16.4,71.0,0.8,20,Wolves,1.6363636363636365,Crystal Palace,True,4
621,Andy,Irving,3,4.4,8,149,0,0,0,0,0,0,29.6,38.3,2.0,1.0,19,West Ham,1.818181818181818,Bournemouth,False,4
331,Tom,Cairney,3,4.9,8,196,0,0,0,1,0,0,14.6,35.1,22.0,1.0,10,Fulham,1.6326530612244896,Sunderland,True,3
682,David,Møller Wolfe,2,4.4,8,149,0,1,0,0,0,0,37.0,20.9,4.0,0.2,20,Wolves,1.818181818181818,Crystal Palace,True,4
713,Álex,Jiménez Sánchez,2,4.5,8,409,0,0,1,4,0,0,63.8,35.0,22.0,1.8,4,Bournemouth,1.7777777777777777,West Ham,True,2
551,Chris,Rigg,3,4.8,8,186,0,0,1,0,0,0,9.0,25.6,7.0,1.0,17,Sunderland,1.6666666666666667,Fulham,False,4
301,Carlos,Alcaraz Durán,3,5.2,8,242,0,0,0,2,0,0,23.2,24.3,51.0,0.8,9,Everton,1.5384615384615383,Man Utd,False,4
284,Eddie,Nketiah,4,5.4,8,107,1,0,0,1,0,0,43.6,45.9,58.0,0.5,8,Crystal Palace,1.4814814814814814,Wolves,False,3
181,Charalampos,Kostoulas,4,4.8,8,29,1,0,0,0,0,0,37.2,0.9,44.0,2.0,6,Brighton,1.6666666666666667,Brentford,True,3
511,Felipe,Rodrigues da Silva,2,4.4,8,438,0,0,0,3,0,0,93.4,5.5,3.0,0.2,16,Nott'm Forest,1.818181818181818,Liverpool,False,4
116,Aaron,Hickey,2,4.0,8,253,0,0,0,1,0,0,24.8,5.6,29.0,0.5,5,Brentford,2.0,Brighton,False,3
697,Amine,Adli,3,5.4,8,210,0,0,0,0,0,0,52.8,52.1,34.0,0.8,4,Bournemouth,1.4814814814814814,West Ham,True,2
25,Ethan,Nwaneri,3,5.1,7,163,0,0,1,0,0,0,8.4,22.4,24.0,0.2,1,Arsenal,1.3725490196078431,Spurs,True,1
645,Fer,López González,3,5.2,7,116,0,1,0,1,0,0,27.0,52.0,32.0,0.2,20,Wolves,1.346153846153846,Crystal Palace,True,4
699,Douglas Luiz,Soares de Paulo,3,5.0,7,185,0,1,0,1,0,0,23.2,46.5,10.0,0.5,16,Nott'm Forest,1.4,Liverpool,False,4
391,Ben,Gannon-Doak,3,4.9,7,53,0,1,0,0,0,0,21.2,14.0,11.0,0.5,4,Bournemouth,1.4285714285714284,West Ham,True,2
152,Joël,Veltman,2,4.3,7,339,0,0,0,3,0,0,69.2,20.5,6.0,0.0,6,Brighton,1.627906976744186,Brentford,True,3
370,Jeremie,Frimpong,2,5.7,7,83,0,1,0,0,0,0,19.4,17.3,29.0,0.2,12,Liverpool,1.2280701754385963,Nott'm Forest,True,2
356,Ilia,Gruev,3,4.8,7,211,0,0,1,1,0,0,25.0,8.9,2.0,0.0,11,Leeds,1.4583333333333337,Aston Villa,True,3
33,Marco,Bizot,1,4.3,7,180,0,0,1,1,0,0,25.4,0.0,0.0,0.0,2,Aston Villa,1.627906976744186,Leeds,False,3
609,Jean-Clair,Todibo,2,4.3,7,486,0,0,0,1,0,0,110.0,16.4,4.0,1.5,19,West Ham,1.627906976744186,Bournemouth,False,4
727,Samuel,Chukwueze,3,5.3,7,77,0,1,0,0,0,0,21.2,26.7,39.0,0.5,10,Fulham,1.3207547169811322,Sunderland,True,3
321,Jorge,Cuenca Barreno,2,4.4,7,168,0,0,0,0,0,0,40.6,4.6,6.0,1.0,10,Fulham,1.5909090909090908,Sunderland,True,3
246,Andrey,Nascimento dos Santos,3,4.5,7,227,0,0,0,2,0,0,26.6,44.1,42.0,0.5,7,Chelsea,1.5555555555555556,Burnley,False,3
252,Marc,Guiu Paz,4,4.2,7,162,0,0,0,0,0,0,1.0,4.3,60.0,1.0,7,Chelsea,1.6666666666666663,Burnley,False,3
458,Kobbie,Mainoo,3,4.7,7,138,0,0,0,0,0,0,29.4,56.6,5.0,0.5,14,Man Utd,1.4893617021276595,Everton,True,3
726,Randal,Kolo Muani,4,6.9,6,189,0,0,1,0,0,0,8.2,22.8,8.0,1.5,18,Spurs,0.8695652173913043,Arsenal,False,3
10,Myles,Lewis-Skelly,2,5.1,6,86,0,0,0,1,0,0,9.8,7.2,4.0,0.5,1,Arsenal,1.1764705882352942,Spurs,True,1
11,Benjamin,White,2,5.3,6,70,0,0,1,0,0,0,15.4,11.3,1.0,0.0,1,Arsenal,1.1320754716981132,Spurs,True,1
351,Wilfried,Gnonto,3,5.2,6,191,0,0,1,1,0,0,15.8,21.4,16.0,0.0,11,Leeds,1.1538461538461535,Aston Villa,True,3
392,Endo,Wataru,3,4.9,6,36,0,1,0,1,0,0,28.8,10.9,0.0,0.0,12,Liverpool,1.2244897959183672,Nott'm Forest,True,2
637,Toti,Gomes,2,4.3,6,525,0,0,0,1,1,0,95.0,57.1,27.0,0.2,20,Wolves,1.3953488372093024,Crystal Palace,True,4
39,Ian,Maatsen,2,4.2,6,169,0,0,0,1,0,0,49.0,78.7,22.0,0.8,2,Aston Villa,1.4285714285714286,Leeds,False,3
109,Rico,Henry,2,4.3,6,189,0,0,0,1,0,0,19.0,14.5,14.0,0.5,5,Brentford,1.3953488372093024,Brighton,False,3
696,Arnaud,Kalimuendo,4,6.0,6,66,0,0,0,0,0,0,2.8,16.4,22.0,0.2,16,Nott'm Forest,1.0,Liverpool,False,4
507,Ola,Aina,2,4.7,6,270,0,0,0,1,0,0,53.8,33.3,11.0,0.0,16,Nott'm Forest,1.276595744680851,Liverpool,False,4
362,Joël,Piroe,4,5.0,6,178,0,0,1,0,0,0,5.4,16.7,77.0,0.5,11,Leeds,1.2,Aston Villa,True,3
250,Liam,Delap,4,6.2,6,154,0,0,1,0,0,0,11.0,7.7,55.0,0.5,7,Chelsea,0.9677419354838708,Burnley,False,3
718,Soungoutou,Magassa,3,5.0,6,189,0,0,0,1,0,0,35.8,7.5,0.0,0.5,19,West Ham,1.2,Bournemouth,False,4
344,Jaka,Bijol,2,3.9,6,261,0,0,0,0,0,0,54.2,11.6,2.0,1.5,11,Leeds,1.5384615384615383,Aston Villa,True,3
628,José,Malheiro de Sá,1,4.3,5,360,0,0,0,0,0,0,44.0,10.0,0.0,0.0,20,Wolves,1.162790697674419,Crystal Palace,True,4
700,Max,Dowman,3,4.3,5,27,0,1,0,0,0,0,1.0,0.8,26.0,0.0,1,Arsenal,1.162790697674419,Spurs,True,1
52,Jacob,Ramsey,3,5.3,5,190,0,0,0,1,0,0,33.4,84.1,11.0,0.8,15,Newcastle,0.9433962264150944,Man City,True,2
638,Ki-Jana,Hoever,2,3.9,5,249,0,0,0,0,0,0,56.4,60.2,13.0,0.8,20,Wolves,1.2820512820512822,Crystal Palace,True,4
88,Lewis,Cook,3,4.9,5,79,0,0,0,0,0,0,13.8,13.1,3.0,1.0,4,Bournemouth,1.020408163265306,West Ham,True,2
734,Dilane,Bakwa,3,6.0,5,172,0,0,0,0,0,0,30.2,73.7,49.0,0.0,16,Nott'm Forest,0.8333333333333334,Liverpool,False,4
12,Oleksandr,Zinchenko,2,4.9,5,253,0,0,0,0,0,0,62.6,52.4,15.0,0.2,16,Nott'm Forest,1.020408163265306,Liverpool,False,4
494,Joe,Willock,3,5.0,5,99,0,0,1,0,0,0,11.2,3.0,6.0,0.2,15,Newcastle,1.0,Man City,True,2
680,Armando,Broja,4,5.2,5,75,0,0,0,0,0,0,8.4,2.4,10.0,0.5,3,Burnley,0.9615384615384616,Chelsea,True,4
389,Harvey,Elliott,3,5.4,4,97,0,0,0,0,0,0,8.6,17.8,18.0,0.0,2,Aston Villa,0.7407407407407407,Leeds,False,3
591,Archie,Gray,3,4.8,4,71,0,0,1,0,0,0,6.0,13.2,2.0,0.0,18,Spurs,0.8333333333333334,Arsenal,False,3
456,Jadon,Sancho,3,5.8,4,87,0,0,0,0,0,0,14.6,29.8,66.0,0.8,2,Aston Villa,0.6896551724137931,Leeds,False,3
376,Joe,Gomez,2,4.9,4,43,0,0,0,0,0,0,14.6,0.8,6.0,0.5,12,Liverpool,0.8163265306122448,Nott'm Forest,True,2
706,James,Justin,2,4.0,4,77,0,0,0,1,0,0,15.4,1.1,2.0,0.2,11,Leeds,1.0,Aston Villa,True,3
426,James,McAtee,3,5.1,4,126,0,0,0,0,0,0,14.0,39.8,6.0,0.0,16,Nott'm Forest,0.7843137254901962,Liverpool,False,4
163,Jack,Hinshelwood,3,5.1,4,107,0,0,0,0,0,0,9.4,2.0,0.0,0.0,6,Brighton,0.7843137254901962,Brentford,True,3
320,Issa,Diop,2,4.4,4,223,0,0,0,1,0,0,34.0,1.7,4.0,0.5,10,Fulham,0.9090909090909092,Sunderland,True,3
466,Joshua,Zirkzee,4,5.8,4,82,0,0,0,0,0,0,13.6,17.1,60.0,0.2,14,Man Utd,0.6896551724137931,Everton,True,3
244,Roméo,Lavia,3,4.9,4,105,0,0,0,0,0,0,9.6,7.5,2.0,0.5,7,Chelsea,0.8163265306122448,Burnley,False,3
